Name,Price,Year,Style,Made In,Kilometer,Province,District,Gearbox,Fuel,Description
Porsche Macan 2017,1 tỉ 690 triệu,2017,Sedan,Nhập khẩu,38.000 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Macan t4 2017. 1 đời chủ. Fulloption gồm: Mâm 21, ghế 14 hướng, loa Bose, đèn LED matrix, ốp gỗ, paga mui, pô 4 ống xã, viền cửa sổ xi, màu sơn, nẹp cửa macan, tay lái gật gù điện, dàn lạnh sau, cốp điện. Xe nhà trùm mền không chạy. Sử dụng 38 ngàn. Mới 95%. Toàn bộ còn zin theo xe. Xem thích ngay."
Honda CR-V 1.5 G 2021,830 triệu,2021,SUV,Trong nước,56.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Honda CRV G 2021 chạy 5,6v. Giá bán 830tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Toyota Fortuner 2.4G 4x2 AT 2019,799 triệu,2019,SUV,Trong nước,70.000 km,Hà Nội,Tây Hồ,Số tự động,Máy dầu,"- Động cơ 2.4 AT máy Dầu 1 cầu. - Biển Tỉnh, Xe đẹp ko lỗi, dễ sử dụng, bảo dưỡng rẻ, thanh khoản cao. - Động cơ, khung gầm nguyên bản. - Option: Màn hình Androids, Cảm biến lùi, Camera lùi.... - Lăn bánh 7 vạn km. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng cho anh em. ==> Xe đã được kiểm tra kỹ lưỡng với quy trình chặt chẽ. ==> Bảo hành: Động cơ, Hộp số. ——————. Hotline/Zalo: 0906283959."
Ford Focus 1.5L EcoBoost Trend Hatchback 2018,405 triệu,2018,Hatchback,Trong nước,70.000 km,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"- 1 chủ cá nhân từ đầu, biển Hà Nội. - Động cơ, khung gầm nguyên bản. - Option: Đã độ lên RS (Body, Đèn pha, Màn hình) xương xương 90 củ... Kết nối điện thoại, Vô lăng tích hợp, Cảm biến, Camera lùi. - Lăn bánh 7 vạn km. - Cam kết văn bản: Ko ngập nước, ko tai nạn, pháp lý rõ ràng. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng. ——————. ==> Xe đã được kiểm tra kỹ lưỡng với quy trình chặt chẽ. ==> Bảo hành: Động cơ, Hộp số. Hotline/Zalo: 0906283959."
Honda CR-V 2.0 2013,459 triệu,2013,SUV,Trong nước,90.000 km,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"- 1 chủ từ đầu, xe đẹp xuất sắc. - Động cơ, khung gầm nguyên bản. - Option: Màn hình giải trí, Vô lăng tích hợp, Cảm biến, Camera lùi, Chân ga tự động.... - Lăn bánh 9 vạn km zin. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng. ==> Xe đã được kiểm tra kỹ lưỡng với quy trình chặt chẽ. ==> Bảo hành: Động cơ, Hộp số. ——————. Hotline/Zalo: 0906283959."
Kia Sorento 2.4 GATH Premium 2013,385 triệu,2013,SUV,Trong nước,110.000 km,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"Sorento 2.4 4WD 2013. - Chủ cá nhân, đi cực giữ gìn. - Động cơ, khung gầm nguyên bản. - Option: Màn hình giải trí, Kết nối điện thoại, Vô lăng tích hợp, Cảm biến, Camera lùi, Chân ga tự động, Cửa sổ trời.... - Lăn bánh 11 vạn km. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng. ——————. Hotline/Zalo: 0906283959."
Mitsubishi Pajero Sport D 4x4 AT 2020,949 triệu,2020,SUV,Nhập khẩu,30.000 km,Hà Nội,Tây Hồ,Số tự động,Máy dầu,"- Xe cực đẹp ko lỗi nhỏ, chủ xe đi quá giữ gìn. - Động cơ, khung gầm nguyên bản. - Bản full kịch, Mẫu xe đa năng, dễ sử dụng, bảo dưỡng rẻ, chạy trên mọi địa hình. - Option: Màn hình giải trí, Cảm biến, Camera lùi, Chân ga tự động, Cửa sổ trời.... - Lăn bánh 3 vạn km. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng. ——————. Hotline/Zalo: 0906283959."
Hyundai Santa Fe 2.5 Xăng Cao cấp 2022,1 tỉ 055 triệu,2022,SUV,Trong nước,20.000 km,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"- 1 chủ cá nhân từ mới, biển Hà Nội. - Chất lượng xe chẳng có gì để bàn ngoài từ ĐẸP. - Động cơ, khung gầm nguyên bản. - Option: Màn hình giải trí, Cảm biến, Camera lùi, Cam 360, Chân ga tự động, Kết nối điện thoại, Cửa sổ trời... - Lăn bánh 2 vạn km Zin. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng. ——————. Hotline/Zalo: 0906283959."
Toyota Corolla Cross 1.8 V 2022,770 triệu,2022,SUV,Trong nước,18.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Toyota Cross 2022 1.8V chạy 1,8 vạn km. Giá bán 770tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Toyota Sienna 2016,1 tỉ 890 triệu,2016,Van/Minivan,Nhập khẩu,50.000 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,Toyota Sienna Limited model 2016. Đặc biệt phiên bản cao nhất 2 cầu rất hiếm. Chạy ngon hơn 1 cầu nhiều. Fulloption. Nệm da còn zin cực hiếm. Xe nhà trùm mền mới 95%. Xem là mê luôn.
Kia Carnival 2.2D Signature 2022,1 tỉ 320 triệu,2022,MPV,Trong nước,27.000 km,Tp.HCM,Quận 12,Số tự động,Máy dầu,"Kia Carnival 2022 2.2l Signature màu đen siêu đẹp. Bán Kia Carnival 2022 tại TP. HCM. Kia Canival 2.2 l máy dầu, Phiên bản 7 ghế cao cấp nhất Signature sản xuất 2022. Xe Odo mới đi: 27000km chuẩn chỉ. Full Lịch hãng, chủ xe ít đi nên bán lại. Cam kết zin 100%, ko đâm đụng ko ngập, ko tua Km. Những tính năng trang bị: ✓Đề nổ từ xa, Cửa lùa điện 2 bên, Cốp điện thông minh. ✓Auto Hold, Thắng tay điện tử, Camera 360 độ.. Liên hệ Em Khoa 0979032488(Call/zalo) để sở hữu một chiếc xe lướt cực đẹp."
Hyundai Santa Fe 2.4L Xăng Đặc biệt 2018,699 triệu,2018,SUV,Trong nước,90.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Santafe bản full Xăng 2018, Hàng đẹp xe đi giữ gìn, chăm sóc xe kỹ. Thân vỏ form xe cực đẹp, Nội thất mới tinh từng chi tiết. Odo: 9 vạn km, động cơ hộp số zin từng con ốc, máy êm tình trạng vận hành rất tốt. Film cách nhiệt full kính, thảm 6D, Cam hành trình.. Option đầy đủ: Cửa nóc panorama, cốp điện, ghế điện, Cruisercontrol, Cân bằng điện tử, đèn Bi Led, túi khí quanh xe... Hệ thống an toàn đầy đủ. Giá cực êm 699 triệu, xe đẹp bao check. Hỗ trợ Bank nhanh gọn. Các bác nhu cầu gọi em Vương. 5 Trần vỹ, Cầu giấy, Hà nội."
Audi A1 2010,370 triệu,2010,Hatchback,Nhập khẩu,90.000 km,Hà Nội,Hoàn Kiếm,Số tự động,Máy xăng,"Audi A1 sản xuất 2010 lên fom 2017 odo 9v km, lên nhiều đồ chơi. Chào 370 triệu. Mạnh Thắng - Best Your Car. ✓ Cam kết chất lượng. ✓ Hỗ trợ bank, làm tên. ✓ Địa chỉ: 17A Vũ Đức Thận, Việt Hưng, Quận Long Biên, Hà Nội. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0889368879."
Mercedes-Benz GLC 200 2021,1 tỉ 390 triệu,2021,SUV,Trong nước,50.000 km,Hà Nội,Hoàn Kiếm,Số tự động,Máy xăng,"Mercedes GLC 200 2021 đky lần đầu 2022, màu đỏ nội thất kem. Odo 5v km, Chào 1 tỷ 390 triệu. Mạnh Thắng - Best Your Car. ✓ Cam kết chất lượng. ✓ Hỗ trợ bank, làm tên. ✓ Địa chỉ: 17A Vũ Đức Thận, Việt Hưng, Quận Long Biên, Hà Nội. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0889368879."
Kia Sorento 2.5G Premium 2022,989 triệu,2022,SUV,Trong nước,46.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Sorento 7 chỗ bản Sig máy Xăng 2.5 2022, Cực đẹp Sơn zin cả xe! Thiết kế thể thao tinh tế, Tiện nghi sang trọng. Động cơ Smartstream, 4 chế độ lái, đèn full Led cực đẹp. Option miên man: Rada, SmartSensing hỗ trợ lái an toàn. 4 ghế điện, sưởi + làm mát ghế, cửa nóc. Giàn lốp Mit, Màn androi cỡ lớn & Cam 360, bệ chân, film cách nhiệt full kính, thảm Kata. Xe đi 4,6 vạn cực giữ gìn, nội thất rất mới. Giá êm: 989 triệu, xe đẹp bao check toàn quốc. Hỗ trợ trả góp, thủ tục nhanh gọn, lãi suất ưu đãi. Các bác nhu cầu gọi em Vương. 5 Trần vỹ, Cầu giấy, Hà nội."
Porsche Macan 2017,1 tỉ 690 triệu,2017,Sedan,Nhập khẩu,38.000 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Macan t4 2017. 1 đời chủ. Fulloption gồm: Mâm 21, ghế 14 hướng, loa Bose, đèn LED matrix, ốp gỗ, paga mui, pô 4 ống xã, viền cửa sổ xi, màu sơn, nẹp cửa macan, tay lái gật gù điện, dàn lạnh sau, cốp điện. Xe nhà trùm mền không chạy. Sử dụng 38 ngàn. Mới 95%. Toàn bộ còn zin theo xe. Xem thích ngay."
Honda CR-V 1.5 G 2021,830 triệu,2021,SUV,Trong nước,56.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Honda CRV G 2021 chạy 5,6v. Giá bán 830tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Toyota Fortuner 2.4G 4x2 AT 2019,799 triệu,2019,SUV,Trong nước,70.000 km,Hà Nội,Tây Hồ,Số tự động,Máy dầu,"- Động cơ 2.4 AT máy Dầu 1 cầu. - Biển Tỉnh, Xe đẹp ko lỗi, dễ sử dụng, bảo dưỡng rẻ, thanh khoản cao. - Động cơ, khung gầm nguyên bản. - Option: Màn hình Androids, Cảm biến lùi, Camera lùi.... - Lăn bánh 7 vạn km. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng cho anh em. ==> Xe đã được kiểm tra kỹ lưỡng với quy trình chặt chẽ. ==> Bảo hành: Động cơ, Hộp số. ——————. Hotline/Zalo: 0906283959."
