[2024-11-12 20:25:40,995] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2024-11-12 20:25:41,035] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2024-11-12 20:25:41,041] INFO [Controller id=0] Creating FeatureZNode at path: /feature with contents: FeatureZNode(2,Enabled,Map()) (kafka.controller.KafkaController)
[2024-11-12 20:25:41,092] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2024-11-12 20:25:41,097] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2024-11-12 20:25:41,100] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2024-11-12 20:25:41,102] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2024-11-12 20:25:41,119] INFO [Controller id=0] Initialized broker epochs cache: HashMap(0 -> 25) (kafka.controller.KafkaController)
[2024-11-12 20:25:41,124] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2024-11-12 20:25:41,130] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2024-11-12 20:25:41,136] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2024-11-12 20:25:41,138] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2024-11-12 20:25:41,138] INFO [Controller id=0] Currently shutting brokers in the cluster: HashSet() (kafka.controller.KafkaController)
[2024-11-12 20:25:41,138] INFO [Controller id=0] Current list of topics in the cluster: HashSet() (kafka.controller.KafkaController)
[2024-11-12 20:25:41,138] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2024-11-12 20:25:41,142] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2024-11-12 20:25:41,143] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2024-11-12 20:25:41,143] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2024-11-12 20:25:41,143] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: HashSet() (kafka.controller.TopicDeletionManager)
[2024-11-12 20:25:41,145] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2024-11-12 20:25:41,155] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2024-11-12 20:25:41,156] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2024-11-12 20:25:41,162] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2024-11-12 20:25:41,163] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> HashMap() (kafka.controller.ZkReplicaStateMachine)
[2024-11-12 20:25:41,163] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2024-11-12 20:25:41,164] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2024-11-12 20:25:41,171] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> HashMap() (kafka.controller.ZkPartitionStateMachine)
[2024-11-12 20:25:41,171] INFO [Controller id=0] Ready to serve as the new controller with epoch 1 (kafka.controller.KafkaController)
