car_name,car_price,year,style,madein,kilometer,province,district,gearbox,fuel,descri
Hyundai Accent 1.4 AT 2011,270000000,2011,Sedan,Nhập khẩu,70,Thanh Hóa,Đông Sơn,Số tự động,Máy xăng,"Xe đẹp giá đẹp‍. Auto #hàoôtôđôngsơn. Địa chỉ: Đối diện nhà thi đấu huyện Đông Sơn Thanh Hóa. Tìm kiếm google: Hào ô tô Đông Sơn. Https://maps.app.goo.gl/SpV2ByHG1KZRrTBa6. Với kinh nghiệm 15 năm kinh doanh xe, từng chiếc xe bán ra chúng tôi được cam kết bằng hợp đồng để đảm bảo về chất lượng xe khi đến tay."
Porsche Macan 2017,1690000000,2017,Sedan,Nhập khẩu,38000,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Macan t4 2017. 1 đời chủ. Fulloption gồm: Mâm 21, ghế 14 hướng, loa Bose, đèn LED matrix, ốp gỗ, paga mui, pô 4 ống xã, viền cửa sổ xi, màu sơn, nẹp cửa macan, tay lái gật gù điện, dàn lạnh sau, cốp điện. Xe nhà trùm mền không chạy. Sử dụng 38 ngàn. Mới 95%. Toàn bộ còn zin theo xe. Xem thích ngay."
Ford EcoSport 2020,498000000,2020,SUV,Trong nước,46000,Tp.HCM,Tân Phú,Số tự động,Máy xăng,"ECOSPORT 1.0L ECOSBOOST2020. 51H. Xe cá nhân Một đời chủ sử dụng. Đký lần đầu: 10/2020. Màu: Đỏ. Số km: 46.000km. Phụ kiện đi kèm: Phim cách nhiệt, lót sàn. Giá: 498 triệu. Xe qua sử dụng bảo hành chính hãng Mitsubishi. Cam kết 3 không: Không đâm đụng. Không ngập nước. Không tua đồng hồ. Hỗ trợ trả góp qua ngân hàng 75%."
Land Rover Range Rover 2015,3450000000,2015,SUV,Nhập khẩu,81234,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,HÀNG MỚI VỀ!!! Land Rover Range Rover Autobiography LWB 5.0 Supercharged. Model 2016. Full options. Xe đẹp không tì vết. Đã nâng cấp dàn chân 22inch. Dàn lốp Pirelli Scorpion P zero run flat xịn đét luôn ACE. Bao test check thoải mái. Hỗ trợ bank. LH: Mr. Dũng.
Lexus RX 450H 2010,950000000,2010,SUV,Nhập khẩu,123456,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Lexus RX450H AWD 2010. Xe đẹp chất. Cam sườn, loa mark, dàn lốp mới. Động cơ lai điện Hybrid siêu tiết kiệm. Giá siêu êm. ACE quan tâm alo là mua được. LH: 0983.555.688 09660.88888 Mr. Dũng."
Lexus LM 300 H 2020,5599000000,2020,MPV,Nhập khẩu,59999,Hà Nội,Thanh Xuân,Số tự động,Hybrid,Lexus LM300h model 2021. Fulloption 1 chủ từ đầu. Xe đẹp chất đã qua kiểm tra chất lượng. Bao test check thoải mái. Hỗ trợ bank 56 năm.
Hyundai Sonata Y20 2011,330000000,2011,Sedan,Trong nước,112345,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Hyundai Sonata Y20 sản xuất 2011. Xe đẹp bảo dưỡng đầy đủ, đăng kiểm 7/2025. Chỉ việc đổ xăng là chạy. Chỉ có hơn 300tr là xong thôi ACE nhé.."
Mercedes-Benz V250 Avantgarde 2016,1550000000,2016,MPV,Nhập khẩu,67899,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,Về thêm MPV full size phục vụ ACE. Mercedes Benz V250 up MAYBACH. Xe đẹp chất chỉ bàn về giá. Bao test check thoải mái.. LH: 0983.555.688 09660.88888 Mr. Dũng.
Lexus RX 300 T 2021,2929000000,2021,SUV,Nhập khẩu,51234,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Lexus RX300 2021. 1 chủ từ đầu. Full lịch sử hãng. Nâng cấp camera 360, cửa hít.. Giá siêu êm ACE alo là mua được nhé.. LH: 0983.555.688 0966088888 Mr. Dũng."
Toyota Fortuner 2022,965000000,2022,SUV,Nhập khẩu,38000,Tp.HCM,Quận 10,Số tự động,Máy dầu,Toyota Fortuner 2022. Máy dầu. Số tự động. Xe nhà trùm mền không chạy còn mới tinh. Toàn bộ còn zin theo xe. Xem thích ngay.
Mazda 3 Sedan 1.5L Luxury 2019,470000000,2019,Sedan,Trong nước,60,Thanh Hóa,Đông Sơn,Số tự động,Máy xăng,"Xe đẹp giá đẹp‍. Auto #hàoôtôđôngsơn. Địa chỉ: Đối diện nhà thi đấu huyện Đông Sơn Thanh Hóa. Tìm kiếm google: Hào ô tô Đông Sơn. Với kinh nghiệm 15 năm kinh doanh xe, từng chiếc xe bán ra chúng tôi được cam kết bằng hợp đồng để đảm bảo về chất lượng xe khi đến tay."
Mazda CX-5 2016,478000000,2016,SUV,Trong nước,62000,Tp.HCM,Quận 10,Số tự động,Máy xăng,Mazda CX5 model 2016. Máy 2.0. Xe nhà trùm mền không chạy còn rất mới. Toàn bộ còn zin theo xe. Xem thích ngay.
Toyota Veloz Cross 1.5 CVT TOP 2024,625000000,2024,SUV,Trong nước,1700,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Veloz Cross Top phiên bản cao nhất. Model 2024. Xe mới 99,99%. Sử dụng 1700 km. Xe mua về toàn trùm mền không chạy. Xem thích ngay."
Ford Ranger Wildtrak 3.2 4x4 AT 2016,540000000,2016,Bán Tải,Nhập khẩu,10,Thanh Hóa,Đông Sơn,Số tự động,Máy dầu,Xe đẹp giá đẹp‍. Auto #hàoôtôđôngsơn. Địa chỉ: Đối diện nhà thi đấu huyện Đông Sơn Thanh Hóa. Tìm kiếm google: Hào ô tô Đông Sơn. Https://maps.app.goo.gl/SpV2ByHG1KZRrTBa6.
VinFast Fadil Nâng Cao 2021,335000000,2021,Hatchback,Trong nước,33000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Fadil plus 2021 odo 3,3 vạn full lịch sử hãng, sơ cua chưa hạ, khám dài. Gía 335 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Peugeot 3008 Allure 2022,850000000,2022,SUV,Trong nước,29000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Peugoet 3008 AL sản xuất 2022 odo 2.9 vạn. Gía 850 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Mitsubishi Xpander AT Premium 2022,600000000,2022,MPV,Trong nước,40000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mitsubishi Xpander Premium sx 2022 odo 4 vạn đẹp full ls hãng. Gía 600 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666\."
Mazda 3 2019,465000000,2019,Sedan,Trong nước,30000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mazda 3 facelift sx 2019 đi hơn 3v km, một chủ từ mới. Bán 465 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Hyundai Kona 2.0 AT Đặc biệt 2019,480000000,2019,SUV,Trong nước,74000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai kona 2019 bản đặc biệt odo 7v4 km. Bán 480 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Kia Morning EX 1.25 MT 2017,160000000,2017,Hatchback,Trong nước,130000,Hưng Yên,Khoái Châu,Số sàn,Máy xăng,"Kia Morning EX 1.25 MT 2017 bản base, hồ sơ cầm tay. Xe đẹp, chất, không lỗi. Full kịch đồ chơi. Nội ngoại thất rất mới., lốp đẹp. Đăng kiểm 2/2026. Alo để đc giá tốt 0976488024. Xem xe TT Khoái Châu Hưng Yên."
Toyota Raize 2021,479000000,2021,SUV,Nhập khẩu,29000,Hà Nội,Sóc Sơn,Số tự động,Máy xăng,"Toyota Raize sx 2021 Đăng ký 2022. Tư nhân 1 chủ mua mới. Chuẩn odo 2v9. 4 Lốp theo xe. Sơ cua chưa hạ. Lên dán kính. Cam hành trình vietmap trước sau. Phủ gầm. Cảm biến áp suất lốp. Đăng kiểm và đường bộ 7/2026. Cam kết keo chỉ zin. Cam kết Máy số zin. Cam kết không tai nạn. Cam kết không ngập nước. Bao check test. Netcar auto cam kết bằng văn bản 5 tiêu chí. Nếu sai xin hoàn tiền check và cọc. ️ Xe không ngập nước. ️ Xe không bổ máy. ️ Xe không tai nạn ảnh hưởng đến khung, gầm. ️ Keo chỉ còn zin theo xe. ️ Pháp lý rõ ràng, hồ sơ đẩy đủ sang tên. Xe bán ra luôn được bảo hành hỗ trợ, tư vấn. Netcar mang cả tâm huyết vào từng chiếc xe. Inox để nhận đc full video xe và hình ảnh. Hỗ trợ trả góp 70% giá trị xe."
Hyundai Santa Fe 2.4L Xăng Đặc biệt 2018,699000000,2018,SUV,Trong nước,90000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Sanội thấtafe bản full Xăng 2018, Hàng đẹp xe đi giữ gìn, chăm sóc xe kỹ. Thân vỏ form xe cực đẹp, Nội thất mới tinh từng chi tiết. Odo: 9 vạn km, động cơ hộp số zin từng con ốc, máy êm tình trạng vận hành rất tốt. Film cách nhiệt full kính, thảm 6D, Cam hành trình. Option đầy đủ: Cửa nóc panorama, cốp điện, ghế điện, Cruiserconội thấtrol, Cân bằng điện tử, đèn Bi Led, túi khí quanh xe.. Hệ thống an toàn đầy đủ. Giá cực êm 699 triệu, xe đẹp bao check. Hỗ trợ Bank nhanh gọn. Các bác nhu cầu gọi em Vương. 5 Trần vỹ, Cầu giấy, Hà nội."
Mazda 3 2019,465000000,2019,Sedan,Trong nước,30000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mazda 3 2019 odo 3 vạn lốp theo xe. Gía chào bán 465 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
VinFast LUX A2.0 Nâng cao 2022,585000000,2022,Sedan,Trong nước,80000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast LuxA plus 2021 chạy 8vạn full lịch sử hãng, 1 chủ từ mới, Gía 585 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Hyundai Palisade Exclusive 7 chỗ 2023,1330000000,2023,MPV,Trong nước,30000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Thông tin xe: Hyundai Palisade exclusive 23 dki 2/24 lăn bánh 3vạn km. Gía 1 tỷ 330 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
VinFast LUX SA2.0 Cao cấp 2020,730000000,2020,SUV,Trong nước,90000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Lux SA preimum sx 2020 đki 2021 odo 9v km. Bán 730 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0936993293."
Kia Seltos 1.4 Premium 2021,595000000,2021,SUV,Trong nước,34000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Kia selltot sản xuất 2021 bản preimum một chủ odo 3v4 km full lịch sử hãng. Bán 595 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Kia K3 1.6 Luxury 2021,545000000,2021,Sedan,Trong nước,50000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Kia K3 2021 luxury odo 5 vạn km. Bán 545 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
VinFast LUX SA2.0 2019,650000000,2019,SUV,Trong nước,62000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Lux SA sản xuất 2019 đki 2020 odo 6,2 vạn full hãng lên đèn bi đôi, cốp điện. Bán 650 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Hyundai Elantra 2022,535000000,2022,Sedan,Trong nước,29000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai Elanội thấtra 1.6 AT Tiêu Chuẩn sx2022 odo 2v9km, lên vành inforgeo chính hãng. Bán 535 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Hyundai Elantra 2019,485000000,2019,Sedan,Trong nước,65000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai elanội thấtra 2019 1.6AT odo 6v5 km. Gía 485 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
VinFast LUX SA2.0 Tiêu chuẩn 2021,720000000,2021,SUV,Trong nước,50000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Lux SA sx 2021 base odo 5v. Bán 720 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Kia Sonet 1.5 Premium 2022,555000000,2022,SUV,Trong nước,3000000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Kia Sonet 2022 bản premium, màu đen, odo 3 vạn1 km. Gía 555 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
Hyundai Creta 1.5L Tiêu chuẩn 2022,575000000,2022,SUV,Trong nước,40000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai creta sản xuất 2022 tiêu chuẩn odo 4 vạn xe lên cam 360. Bán 575 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
MG 5 1.5L Luxury 2022,440000000,2022,Sedan,Trong nước,50000,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mg 5 bản luxury sx 2022 odo 5 vạn km. Bán 440 triệu. Auto 8X Mua là Thích. ✓ Hỗ trợ bank 50% 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. Xe không bị tai nạn. Xe không bị ngập nước. Xe không phạt nguội. Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
